incorrect,correct
azetthromycine,Azithromycin
azetthromycine,Azithromycin
azetthromycine,Azithromycin
asithromycin,Azithromycin
azthromycin,Azithromycin
azromycine,Azithromycin
azithomycine,Azithromycin
azithromecin,Azithromycin
azirhromycin,Azithromycin
azhitromycin,Azithromycin
azimythromycin,Azithromycin
azithrumezin,Azithromycin
azithromycine,Azithromycin
azithromicin,Azithromycin
azetromycin,Azithromycin
azethromycin,Azithromycin
azetromicin,Azithromycin
ceffotaxime,Cefotaxime
sefutaxime,Cefotaxime
cefataxim,Cefotaxime
sefataxime,Cefotaxime
ceftaxime,Cefotaxime
sephataxime,Cefotaxime
cefutaxin,Cefotaxime
cefotexime,Cefotaxime
sefotoxime,Cefotaxime
cefotaxem,Cefotaxime
cefotaxim,Cefotaxime
cefotaxin,Cefotaxime
sefotaxime,Cefotaxime
cephotaxime,Cefotaxime
sitrizine,Cetirizine
cettrizine,Cetirizine
ceterezin,Cetirizine
cetarezeen,Cetirizine
cetherizine,Cetirizine
ceterezene,Cetirizine
cetirazin,Cetirizine
ceterezene,Cetirizine
cetarezin,Cetirizine
cetirizeen,Cetirizine
cetirizin,Cetirizine
ceterezine,Cetirizine
ceterizine,Cetirizine
seterizine,Cetirizine
citrazen,Cetirizine
cetrezin,Cetirizine
diethylcarbamezin,Diethylcarbamazine
dyethylcarbamazine,Diethylcarbamazine
daiethylcarbazine,Diethylcarbamazine
diethelcarbamazin,Diethylcarbamazine
diethylkarbamazin,Diethylcarbamazine
dai ethil carbamazine,Diethylcarbamazine
diethilcarbomazine,Diethylcarbamazine
deethelcarbamazine,Diethylcarbamazine
dieithylcarbamazine,Diethylcarbamazine
diethylcarbazim,Diethylcarbamazine
diethylcarbamazin,Diethylcarbamazine
di ethyl carbamazine,Diethylcarbamazine
diethylcarbo,Diethylcarbamazine
deethylcarbamazine,Diethylcarbamazine
diethylcarbamazeen,Diethylcarbamazine
doxicycline,Doxycycline
doxycicline,Doxycycline
doxycyclin,Doxycycline
doxisacline,Doxycycline
docsycycline,Doxycycline
docksicycline,Doxycycline
toxicycline,Doxycycline
doxyciclen,Doxycycline
daxicycline,Doxycycline
dozzycycline,Doxycycline
doxacylin,Doxycycline
doxysicline,Doxycycline
doxycilin,Doxycycline
doxisycline,Doxycycline
ibuprofane,Ibuprofen
ibufrofen,Ibuprofen
ibuprophen,Ibuprofen
ibrofen,Ibuprofen
ibu profin,Ibuprofen
ibuprofem,Ibuprofen
ibuprofin,Ibuprofen
ibrofen,Ibuprofen
ibuporofen,Ibuprofen
ibuprofan,Ibuprofen
ibuprofane,Ibuprofen
ibufrofen,Ibuprofen
ibuprophen,Ibuprofen
ibrofen,Ibuprofen
ibu profin,Ibuprofen
naprosyn,Naproxen
naproxin,Naproxen
naproxene,Naproxen
nuproxen,Naproxen
norfloxacine,Norfloxacin
norflox,Norfloxacin
norfloxcin,Norfloxacin
norfloxicin,Norfloxacin
paracitamol,Paracetamol
parasitamol,Paracetamol
paracetemol,Paracetamol
paracatamol,Paracetamol
